,StateDesc,Short_Question_Text,Measure,StateAbbr,TotalNumber,ESTIMATESBASE2020
0,Alabama,All Teeth Lost,All teeth lost among adults aged >=65 years,AL,1073619.0,5024279
1,Alabama,Annual Checkup,Visits to doctor for routine checkup within the past year among adults aged >=18 years,AL,4736982.0,5024279
2,Alabama,Arthritis,Arthritis among adults aged >=18 years,AL,1819705.0,5024279
3,Alabama,Binge Drinking,Binge drinking among adults aged >=18 years,AL,907088.0,5024279
4,Alabama,COPD,Chronic obstructive pulmonary disease among adults aged >=18 years,AL,503812.0,5024279
5,Alabama,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 years,AL,378265.0,5024279
6,Alabama,Cervical Cancer Screening,Cervical cancer screening among adult women aged 21-65 years,AL,5225175.0,5024279
7,Alabama,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 years,AL,202168.0,5024279
8,Alabama,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",AL,4544529.0,5024279
9,Alabama,Core preventive services for older men,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",AL,2550954.0,5024279
10,Alabama,Core preventive services for older women,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",AL,2241962.0,5024279
11,Alabama,Coronary Heart Disease,Coronary heart disease among adults aged >=18 years,AL,422546.0,5024279
12,Alabama,Current Asthma,Current asthma among adults aged >=18 years,AL,632997.0,5024279
13,Alabama,Current Smoking,Current smoking among adults aged >=18 years,AL,1201351.0,5024279
14,Alabama,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 years,AL,3717370.0,5024279
15,Alabama,Depression,Depression among adults aged >=18 years,AL,1539557.0,5024279
16,Alabama,Diabetes,Diagnosed diabetes among adults aged >=18 years,AL,797118.0,5024279
17,Alabama,General Health,Fair or poor self-rated health status among adults aged >=18 years,AL,1241773.0,5024279
18,Alabama,Health Insurance,Current lack of health insurance among adults aged 18-64 years,AL,1070246.0,5024279
19,Alabama,Mammography,Mammography use among women aged 50-74 years,AL,4804050.0,5024279
20,Alabama,Mental Health,Mental health not good for >=14 days among adults aged >=18 years,AL,1038020.0,5024279
21,Alabama,Obesity,Obesity among adults aged >=18 years,AL,2460454.0,5024279
22,Alabama,Physical Health,Physical health not good for >=14 days among adults aged >=18 years,AL,739488.0,5024279
23,Alabama,Physical Inactivity,No leisure-time physical activity among adults aged >=18 years,AL,1774066.0,5024279
24,Alabama,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 years,AL,2433380.0,5024279
25,Alabama,Stroke,Stroke among adults aged >=18 years,AL,231491.0,5024279
26,Alaska,All Teeth Lost,All teeth lost among adults aged >=65 years,AK,194244.0,733391
27,Alaska,Annual Checkup,Visits to doctor for routine checkup within the past year among adults aged >=18 years,AK,854533.0,733391
28,Alaska,Arthritis,Arthritis among adults aged >=18 years,AK,278842.0,733391
29,Alaska,Binge Drinking,Binge drinking among adults aged >=18 years,AK,274990.0,733391
30,Alaska,COPD,Chronic obstructive pulmonary disease among adults aged >=18 years,AK,73194.0,733391
31,Alaska,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 years,AK,75396.0,733391
32,Alaska,Cervical Cancer Screening,Cervical cancer screening among adult women aged 21-65 years,AK,1063765.0,733391
33,Alaska,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 years,AK,33701.0,733391
34,Alaska,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",AK,886465.0,733391
35,Alaska,Core preventive services for older men,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",AK,467475.0,733391
36,Alaska,Core preventive services for older women,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",AK,394039.0,733391
37,Alaska,Coronary Heart Disease,Coronary heart disease among adults aged >=18 years,AK,71674.0,733391
38,Alaska,Current Asthma,Current asthma among adults aged >=18 years,AK,131044.0,733391
39,Alaska,Current Smoking,Current smoking among adults aged >=18 years,AK,253753.0,733391
40,Alaska,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 years,AK,840730.0,733391
41,Alaska,Depression,Depression among adults aged >=18 years,AK,239457.0,733391
42,Alaska,Diabetes,Diagnosed diabetes among adults aged >=18 years,AK,110262.0,733391
43,Alaska,General Health,Fair or poor self-rated health status among adults aged >=18 years,AK,172535.0,733391
44,Alaska,Health Insurance,Current lack of health insurance among adults aged 18-64 years,AK,192880.0,733391
45,Alaska,Mammography,Mammography use among women aged 50-74 years,AK,884052.0,733391
46,Alaska,Mental Health,Mental health not good for >=14 days among adults aged >=18 years,AK,176056.0,733391
47,Alaska,Obesity,Obesity among adults aged >=18 years,AK,424552.0,733391
48,Alaska,Physical Health,Physical health not good for >=14 days among adults aged >=18 years,AK,126660.0,733391
49,Alaska,Physical Inactivity,No leisure-time physical activity among adults aged >=18 years,AK,289652.0,733391
50,Alaska,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 years,AK,433478.0,733391
51,Alaska,Stroke,Stroke among adults aged >=18 years,AK,37347.0,733391
52,Arizona,All Teeth Lost,All teeth lost among adults aged >=65 years,AZ,1631127.0,7151502
53,Arizona,Annual Checkup,Visits to doctor for routine checkup within the past year among adults aged >=18 years,AZ,8283500.0,7151502
54,Arizona,Arthritis,Arthritis among adults aged >=18 years,AZ,2488539.0,7151502
55,Arizona,Binge Drinking,Binge drinking among adults aged >=18 years,AZ,1924498.0,7151502
56,Arizona,COPD,Chronic obstructive pulmonary disease among adults aged >=18 years,AZ,727469.0,7151502
57,Arizona,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 years,AZ,685673.0,7151502
58,Arizona,Cervical Cancer Screening,Cervical cancer screening among adult women aged 21-65 years,AZ,9471243.0,7151502
59,Arizona,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 years,AZ,355757.0,7151502
60,Arizona,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",AZ,7819502.0,7151502
61,Arizona,Core preventive services for older men,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",AZ,4680888.0,7151502
62,Arizona,Core preventive services for older women,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",AZ,3935459.0,7151502
63,Arizona,Coronary Heart Disease,Coronary heart disease among adults aged >=18 years,AZ,667576.0,7151502
64,Arizona,Current Asthma,Current asthma among adults aged >=18 years,AZ,1247946.0,7151502
65,Arizona,Current Smoking,Current smoking among adults aged >=18 years,AZ,1940897.0,7151502
66,Arizona,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 years,AZ,7017278.0,7151502
67,Arizona,Depression,Depression among adults aged >=18 years,AZ,2368957.0,7151502
68,Arizona,Diabetes,Diagnosed diabetes among adults aged >=18 years,AZ,1166724.0,7151502
69,Arizona,General Health,Fair or poor self-rated health status among adults aged >=18 years,AZ,1820985.0,7151502
70,Arizona,Health Insurance,Current lack of health insurance among adults aged 18-64 years,AZ,2234365.0,7151502
71,Arizona,Mammography,Mammography use among women aged 50-74 years,AZ,8325304.0,7151502
72,Arizona,Mental Health,Mental health not good for >=14 days among adults aged >=18 years,AZ,1813643.0,7151502
73,Arizona,Obesity,Obesity among adults aged >=18 years,AZ,3661320.0,7151502
74,Arizona,Physical Health,Physical health not good for >=14 days among adults aged >=18 years,AZ,1242289.0,7151502
75,Arizona,Physical Inactivity,No leisure-time physical activity among adults aged >=18 years,AZ,2713652.0,7151502
76,Arizona,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 years,AZ,3899830.0,7151502
77,Arizona,Stroke,Stroke among adults aged >=18 years,AZ,334772.0,7151502
78,Arkansas,All Teeth Lost,All teeth lost among adults aged >=65 years,AR,753232.0,3011524
79,Arkansas,Annual Checkup,Visits to doctor for routine checkup within the past year among adults aged >=18 years,AR,2990310.0,3011524
80,Arkansas,Arthritis,Arthritis among adults aged >=18 years,AR,964926.0,3011524
81,Arkansas,Binge Drinking,Binge drinking among adults aged >=18 years,AR,592017.0,3011524
82,Arkansas,COPD,Chronic obstructive pulmonary disease among adults aged >=18 years,AR,317946.0,3011524
83,Arkansas,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 years,AR,238590.0,3011524
84,Arkansas,Cervical Cancer Screening,Cervical cancer screening among adult women aged 21-65 years,AR,3151823.0,3011524
85,Arkansas,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 years,AR,123638.0,3011524
86,Arkansas,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",AR,2710107.0,3011524
87,Arkansas,Core preventive services for older men,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",AR,1550910.0,3011524
88,Arkansas,Core preventive services for older women,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",AR,1385703.0,3011524
89,Arkansas,Coronary Heart Disease,Coronary heart disease among adults aged >=18 years,AR,272725.0,3011524
90,Arkansas,Current Asthma,Current asthma among adults aged >=18 years,AR,407366.0,3011524
91,Arkansas,Current Smoking,Current smoking among adults aged >=18 years,AR,835039.0,3011524
92,Arkansas,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 years,AR,2190661.0,3011524
93,Arkansas,Depression,Depression among adults aged >=18 years,AR,950205.0,3011524
94,Arkansas,Diabetes,Diagnosed diabetes among adults aged >=18 years,AR,452289.0,3011524
95,Arkansas,General Health,Fair or poor self-rated health status among adults aged >=18 years,AR,786564.0,3011524
96,Arkansas,Health Insurance,Current lack of health insurance among adults aged 18-64 years,AR,634880.0,3011524
97,Arkansas,Mammography,Mammography use among women aged 50-74 years,AR,2849911.0,3011524
98,Arkansas,Mental Health,Mental health not good for >=14 days among adults aged >=18 years,AR,663958.0,3011524
99,Arkansas,Obesity,Obesity among adults aged >=18 years,AR,1465893.0,3011524
100,Arkansas,Physical Health,Physical health not good for >=14 days among adults aged >=18 years,AR,502471.0,3011524
101,Arkansas,Physical Inactivity,No leisure-time physical activity among adults aged >=18 years,AR,1179316.0,3011524
102,Arkansas,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 years,AR,1360224.0,3011524
103,Arkansas,Stroke,Stroke among adults aged >=18 years,AR,137236.0,3011524
